,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Cost Price
0,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0.0,41.9136,110.02319999999999
1,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0.0,219.582,170.78600000000003
2,Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0.0,6.8714,3.8742999999999994
3,Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,0.45,-383.031,388.77646500000003
4,Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368000000000002,2,0.2,2.5164,11.910960000000001
5,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0.0,14.1694,4.955800000000001
6,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,4,0.0,1.9656,1.3286
7,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,907.1519999999999,6,0.2,90.7152,163.28736
8,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504,3,0.2,5.7825,5.0886000000000005
9,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0.0,34.47,16.086000000000002
10,Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,1706.184,9,0.2,85.3092,216.11664000000002
11,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,911.424,4,0.2,68.3568,252.92015999999998
12,Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,0.2,5.4432,4.043519999999999
13,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922,110.15352
14,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.85799999999999,69.36048
15,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.8160000000000003,3.8160000000000003
16,Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,108.7604
17,Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,0.0,9.99,22.755
18,Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,2,0.0,2.4824,3.0388
19,Second Class,Consumer,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.011,78.98759999999999
20,Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,4,0.2,7.3839999999999995,4.6008
21,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,0.0,5.0596,2.0572000000000004
22,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,6.3788
23,Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,0.3,-1.0196,47.05454
24,Standard Class,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,3,0.0,240.2649,268.12170000000003
25,Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648,2,0.2,4.2224,4.45536
26,Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,3,0.0,11.7741,26.265299999999996
27,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,1017.5319
28,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,14.170519999999998
29,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,0.2,15.525,43.47
30,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,1.29744
31,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,6,0.2,9.7092,15.31896
32,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,6,0.7,-5.715,3.56235
33,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2,0.2,3.5460000000000003,7.3283999999999985
34,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.471999999999998,3,0.2,9.9468,7.810079999999998
35,First Class,Corporate,Richardson,Texas,Central,Technology,Phones,1097.5439999999999,7,0.2,123.4737,166.98348
36,First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,108.44256000000001
37,Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.32799999999999,9,0.2,35.415,10.388399999999997
38,Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,254.92526399999997
39,Standard Class,Home Office,Houston,Texas,Central,Furniture,Chairs,212.058,3,0.3,-15.147,98.4555
40,Standard Class,Home Office,Houston,Texas,Central,Technology,Phones,371.168,4,0.2,41.7564,98.82348
41,Standard Class,Corporate,Naperville,Illinois,Central,Technology,Phones,147.168,4,0.2,16.5564,39.18348
42,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88,2,0.0,3.8939999999999997,36.992999999999995
43,Standard Class,Corporate,Melbourne,Florida,South,Office Supplies,Storage,95.616,2,0.2,9.5616,51.63264
44,First Class,Corporate,Eagan,Minnesota,Central,Technology,Accessories,45.98,2,0.0,19.7714,13.104299999999999
45,First Class,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,4.6269
46,Second Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,50.870400000000004
47,Standard Class,Consumer,Dover,Delaware,East,Technology,Accessories,45.0,3,0.0,4.95,13.35
48,Standard Class,Consumer,Dover,Delaware,East,Technology,Phones,21.8,2,0.0,6.104,7.848000000000001
49,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,3.3760999999999997
50,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,6.640900000000001
51,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,1.6016000000000001
52,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99,1,0.0,17.0981,72.89189999999999
53,Standard Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,1.2861999999999998
54,Standard Class,Corporate,New York City,New York,East,Technology,Phones,1029.95,5,0.0,298.6855,146.2529
55,First Class,Consumer,Troy,New York,East,Office Supplies,Storage,208.56,6,0.0,52.14,26.070000000000004
56,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,32.4,5,0.0,15.552,3.3695999999999997
57,First Class,Consumer,Troy,New York,East,Furniture,Chairs,319.41,5,0.1,7.098,68.70864
58,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,14.56,2,0.0,6.9888,3.7856
59,First Class,Consumer,Troy,New York,East,Technology,Accessories,30.0,2,0.0,3.3,13.35
60,First Class,Consumer,Troy,New York,East,Office Supplies,Binders,48.48,4,0.2,16.362000000000002,9.635399999999999
61,First Class,Consumer,Troy,New York,East,Office Supplies,Art,1.68,1,0.0,0.84,0.84
62,Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,13.98,2,0.0,6.1512,3.9144
63,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.824,6,0.2,9.3612,3.2925600000000004
64,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,146.73,3,0.0,68.9631,25.922299999999996
65,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,4,0.0,22.3328,14.356800000000002
66,Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,59.36775000000001
67,Standard Class,Corporate,Gilbert,Arizona,West,Office Supplies,Art,1113.024,8,0.2,111.3024,150.25823999999997
68,Standard Class,Corporate,Gilbert,Arizona,West,Technology,Phones,167.968,4,0.2,62.988,31.493999999999996
69,First Class,Consumer,Springfield,Virginia,South,Office Supplies,Paper,75.88,2,0.0,35.6636,20.108199999999997
70,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,4.6160000000000005,1,0.2,1.7309999999999999,3.4620000000000006
71,Second Class,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,19.05,3,0.0,8.763,3.4290000000000003
72,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Chairs,831.936,8,0.2,-114.3912,141.94908
73,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,97.04,2,0.2,1.213,57.49620000000001
74,Standard Class,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,72.78399999999999,1,0.2,-18.195999999999998,109.17599999999999
75,First Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,1.90944
76,First Class,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,8.28416
77,First Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,27.24,3,0.2,2.7239999999999998,9.806399999999998
78,Second Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,10.808
79,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,151.9568
80,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Binders,16.74,3,0.0,8.0352,2.9015999999999997
81,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,14.9,5,0.0,4.172,2.1456000000000004
82,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,21.39,1,0.0,6.2031,15.186900000000001
83,Standard Class,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,23.6874
84,First Class,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,230.37599999999998,3,0.2,-48.9549,111.73235999999999
85,Second Class,Consumer,Columbia,South Carolina,South,Furniture,Chairs,301.96,2,0.0,33.2156,134.3722
86,Standard Class,Consumer,Rochester,Minnesota,Central,Technology,Accessories,19.99,1,0.0,6.7966,13.193399999999999
87,Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,1.6016000000000001
88,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,24.773279999999996
89,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,20.1,3,0.0,6.632999999999999,4.489000000000001
90,Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,73.584,2,0.2,8.2782,39.18348
91,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,6.48,1,0.0,3.1104,3.3696000000000006
92,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,3.3696000000000006
93,Second Class,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,12.268200000000002
94,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,8.4048
95,Standard Class,Home Office,Portland,Oregon,West,Office Supplies,Binders,5.682,1,0.7,-3.7880000000000003,16.099
96,Second Class,Home Office,New York City,New York,East,Furniture,Furnishings,96.53,7,0.0,40.5426,7.9982
97,First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,51.312,3,0.2,17.9592,13.341120000000002
98,Standard Class,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,9.2158
99,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,7.2009599999999985
100,Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,95.976,3,0.2,-10.7973,42.709320000000005
101,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,2.8965600000000005
102,Second Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,3.0498000000000003
103,Standard Class,Consumer,Aurora,Colorado,West,Technology,Accessories,238.896,6,0.2,-26.8758,53.15436
104,Standard Class,Consumer,Aurora,Colorado,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,42.47939999999999
105,Standard Class,Consumer,Aurora,Colorado,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,35.52966
106,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Accessories,74.112,8,0.2,17.6016,8.476559999999997
107,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Phones,27.991999999999997,1,0.2,2.0994,31.071119999999997
108,Standard Class,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,3.304,1,0.2,1.0738,2.67624
109,Standard Class,Home Office,Orland Park,Illinois,Central,Technology,Accessories,339.96,5,0.2,67.992,65.27232
110,Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,41.96,2,0.0,10.9096,15.525200000000002
111,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,75.96,2,0.0,22.788,26.586
112,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,2.3154
113,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2.1909599999999996
114,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,1.8407999999999998
115,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Paper,23.976,3,0.2,7.4925,6.593399999999999
116,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,17.28648
117,Standard Class,Consumer,Seattle,Washington,West,Furniture,Tables,787.53,3,0.0,165.3813,207.38289999999998
118,Standard Class,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,157.79399999999998,1,0.7,-115.7156,464.96631999999994
119,First Class,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,47.04,3,0.0,18.3456,9.5648
120,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,30.84,4,0.0,13.878,4.2405
121,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,226.56,6,0.0,63.4368,27.1872
122,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02,9,0.0,51.75899999999999,7.029
123,First Class,Consumer,Wilmington,Delaware,East,Technology,Phones,68.04,7,0.0,19.7316,6.901200000000001
124,Second Class,Home Office,Houston,Texas,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,263.95954
125,Standard Class,Consumer,Bloomington,Illinois,Central,Furniture,Tables,617.7,6,0.5,-407.68199999999996,256.3455
126,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,3.5859799999999997
127,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,243.99200000000002,7,0.2,30.499000000000002,36.598800000000004
128,Second Class,Home Office,Los Angeles,California,West,Furniture,Chairs,81.42399999999999,2,0.2,-9.1602,54.350519999999996
129,Second Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,238.56,3,0.0,26.2416,70.7728
130,First Class,Corporate,Columbus,Ohio,East,Technology,Phones,59.97,5,0.4,-11.994000000000002,20.149919999999998
131,First Class,Corporate,Columbus,Ohio,East,Office Supplies,Paper,78.304,2,0.2,29.364,29.363999999999997
132,First Class,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,1.9310399999999999
133,Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,20.04,3,0.0,9.6192,3.4736
134,Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,35.44,1,0.0,16.6568,18.783199999999997
135,Standard Class,Consumer,Roseville,California,West,Office Supplies,Art,11.52,4,0.0,3.4560000000000004,2.016
